epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
128,7943.11,0.89841,0.64574,1.18497,0.93816,0.9086,0.95123,0.75366,0.69268,0.42301,1.05583,0.000850592,0.000850592,0.000850592
129,8005.41,0.92055,0.65833,1.20518,0.94169,0.90323,0.95267,0.74936,0.73063,0.43814,1.06778,0.000848358,0.000848358,0.000848358
130,8067.11,0.89578,0.65778,1.18318,0.93798,0.90323,0.95172,0.74159,0.70875,0.43321,1.06099,0.000846111,0.000846111,0.000846111
131,8129.56,0.88469,0.63467,1.18012,0.93389,0.91133,0.96255,0.7434,0.76674,0.43527,1.07893,0.000843851,0.000843851,0.000843851
132,8191.25,0.88898,0.65398,1.19007,0.90817,0.91935,0.95443,0.75287,0.68521,0.42893,1.04122,0.000841577,0.000841577,0.000841577
133,8253.56,0.87897,0.62432,1.18062,0.92185,0.92473,0.95491,0.76436,0.6932,0.41983,1.04197,0.00083929,0.00083929,0.00083929
134,8315.38,0.8848,0.63493,1.18683,0.9439,0.90462,0.95325,0.74963,0.72997,0.42763,1.07133,0.000836989,0.000836989,0.000836989
135,8377.78,0.88717,0.63049,1.1807,0.92607,0.89785,0.94339,0.74601,0.73784,0.44306,1.07624,0.000834676,0.000834676,0.000834676
136,8439.49,0.87669,0.62686,1.18313,0.93284,0.89615,0.95333,0.75065,0.77173,0.45149,1.06622,0.000832349,0.000832349,0.000832349
137,8501.88,0.85993,0.62315,1.17532,0.92757,0.89505,0.95298,0.7705,0.70702,0.42961,1.05217,0.00083001,0.00083001,0.00083001
138,8563.68,0.87545,0.63054,1.17841,0.933,0.90323,0.95366,0.7563,0.70097,0.43515,1.05723,0.000827658,0.000827658,0.000827658
139,8626.11,0.8778,0.62836,1.18061,0.91874,0.91398,0.9531,0.75025,0.71607,0.44123,1.05882,0.000825293,0.000825293,0.000825293
140,8687.8,0.8546,0.6156,1.17076,0.92927,0.91832,0.96046,0.75894,0.69362,0.4107,1.05055,0.000822915,0.000822915,0.000822915
141,8750.19,0.8678,0.62947,1.17598,0.90457,0.91398,0.94888,0.75185,0.71016,0.43921,1.06379,0.000820525,0.000820525,0.000820525
142,8811.91,0.87106,0.6386,1.17817,0.93816,0.89724,0.96126,0.75925,0.71406,0.45377,1.05749,0.000818122,0.000818122,0.000818122
143,8874.28,0.84855,0.60521,1.16254,0.92316,0.90433,0.95863,0.75954,0.69996,0.43238,1.05011,0.000815707,0.000815707,0.000815707
144,8935.94,0.84446,0.60792,1.15215,0.91279,0.9086,0.9556,0.75414,0.71316,0.4373,1.06235,0.00081328,0.00081328,0.00081328
145,8998.24,0.845,0.60945,1.1565,0.92711,0.88898,0.96226,0.74726,0.73898,0.45087,1.07658,0.000810841,0.000810841,0.000810841
146,9059.92,0.8547,0.61435,1.16785,0.93292,0.89247,0.95713,0.76153,0.67705,0.43468,1.04299,0.000808389,0.000808389,0.000808389
147,9122.27,0.85202,0.60743,1.16129,0.90523,0.92439,0.95234,0.7577,0.71564,0.45157,1.06111,0.000805925,0.000805925,0.000805925
148,9184.01,0.84779,0.61242,1.16103,0.93291,0.89706,0.9604,0.75923,0.7028,0.41449,1.06689,0.00080345,0.00080345,0.00080345
149,9246.44,0.83853,0.61416,1.15418,0.92748,0.89385,0.95833,0.75426,0.73234,0.4069,1.06183,0.000800963,0.000800963,0.000800963
150,9308.11,0.84041,0.60483,1.15881,0.92366,0.91935,0.9664,0.77418,0.6986,0.41924,1.05019,0.000798464,0.000798464,0.000798464
151,9370.58,0.84473,0.60908,1.16789,0.90365,0.9086,0.95448,0.76197,0.70549,0.44232,1.049,0.000795954,0.000795954,0.000795954
152,9432.33,0.84568,0.60067,1.16584,0.88724,0.91398,0.95061,0.77143,0.6891,0.42924,1.04921,0.000793432,0.000793432,0.000793432
153,9494.72,0.83117,0.5912,1.15127,0.90355,0.90323,0.95173,0.77047,0.69209,0.44728,1.06708,0.000790898,0.000790898,0.000790898
154,9556.34,0.84589,0.6101,1.15702,0.94909,0.90215,0.96226,0.77158,0.67747,0.42663,1.06178,0.000788354,0.000788354,0.000788354
155,9618.77,0.8323,0.59255,1.15695,0.92107,0.90323,0.95588,0.76816,0.70492,0.42184,1.06899,0.000785798,0.000785798,0.000785798
156,9680.44,0.82506,0.57752,1.14917,0.90579,0.93041,0.96145,0.77019,0.71108,0.41241,1.04834,0.000783231,0.000783231,0.000783231
157,9742.79,0.82624,0.58919,1.14912,0.90556,0.9279,0.95605,0.76999,0.72918,0.43675,1.05663,0.000780653,0.000780653,0.000780653
158,9804.43,0.81804,0.58697,1.1482,0.90991,0.93011,0.95972,0.77483,0.71471,0.42578,1.05416,0.000778065,0.000778065,0.000778065
159,9866.84,0.81713,0.57822,1.14538,0.94113,0.9086,0.95994,0.77375,0.72944,0.42067,1.05715,0.000775465,0.000775465,0.000775465
160,9928.52,0.8026,0.57734,1.13119,0.93308,0.89957,0.95406,0.76593,0.70992,0.4333,1.06331,0.000772855,0.000772855,0.000772855
161,9990.92,0.8172,0.58895,1.14854,0.93413,0.89785,0.95642,0.76667,0.71129,0.43815,1.07813,0.000770234,0.000770234,0.000770234
162,10052.6,0.82041,0.58547,1.14979,0.93935,0.89247,0.95608,0.76307,0.71223,0.43254,1.07867,0.000767603,0.000767603,0.000767603
163,10115,0.807,0.57914,1.14117,0.9412,0.9086,0.95637,0.75631,0.74846,0.44159,1.09719,0.000764961,0.000764961,0.000764961
164,10176.6,0.80583,0.5667,1.13513,0.9229,0.90096,0.95562,0.75707,0.71937,0.42421,1.08576,0.00076231,0.00076231,0.00076231
165,10239,0.80258,0.57888,1.13474,0.90547,0.927,0.95183,0.76302,0.71192,0.4152,1.07222,0.000759648,0.000759648,0.000759648
166,10300.7,0.79596,0.57,1.13379,0.90965,0.92473,0.95789,0.76822,0.7397,0.42756,1.08494,0.000756976,0.000756976,0.000756976
167,10363,0.7925,0.56547,1.12948,0.9349,0.9086,0.95934,0.77566,0.73773,0.43655,1.08762,0.000754293,0.000754293,0.000754293
168,10424.8,0.79899,0.5639,1.13025,0.94371,0.90143,0.96105,0.77713,0.7101,0.41839,1.05915,0.000751602,0.000751602,0.000751602
169,10487.3,0.78262,0.54813,1.11358,0.92335,0.9067,0.96396,0.77493,0.69694,0.40977,1.05556,0.0007489,0.0007489,0.0007489
170,10548.9,0.78249,0.56039,1.12358,0.92208,0.92473,0.96177,0.76499,0.70682,0.42042,1.05313,0.000746189,0.000746189,0.000746189
171,10611.3,0.79181,0.55513,1.12088,0.90978,0.93011,0.95726,0.77181,0.70647,0.43072,1.04703,0.000743468,0.000743468,0.000743468
172,10673.1,0.79331,0.55873,1.1278,0.92836,0.90572,0.95924,0.76255,0.70355,0.41759,1.06155,0.000740738,0.000740738,0.000740738
173,10735.5,0.79092,0.55746,1.12605,0.93715,0.9086,0.95843,0.76097,0.71433,0.42157,1.07473,0.000737998,0.000737998,0.000737998
174,10797.1,0.79324,0.55738,1.12315,0.91793,0.91935,0.95533,0.77058,0.68911,0.40599,1.05944,0.00073525,0.00073525,0.00073525
175,10859.5,0.78265,0.55319,1.12237,0.92733,0.90323,0.95752,0.77454,0.69149,0.40643,1.05092,0.000732492,0.000732492,0.000732492
176,10921.2,0.78117,0.55451,1.11803,0.93191,0.90323,0.96168,0.78175,0.68835,0.39933,1.0458,0.000729725,0.000729725,0.000729725
177,10983.7,0.7849,0.54755,1.124,0.92848,0.91398,0.96176,0.77829,0.68765,0.39929,1.05885,0.00072695,0.00072695,0.00072695
178,11045.4,0.78032,0.55332,1.12546,0.90198,0.93011,0.96098,0.77236,0.70125,0.41905,1.08243,0.000724165,0.000724165,0.000724165
179,11107.8,0.76682,0.53544,1.11293,0.9009,0.92865,0.9558,0.77631,0.70636,0.42786,1.07461,0.000721372,0.000721372,0.000721372
